번호,업소명,도로명주소,소재지주소,지정일자,음식의유형,주된음식종류,전화번호
1,한밭식당,대전광역시 동구 태전로 3 (중동),대전광역시 동구 중동 60-1 ,19920728,한식,설렁탕, 042 2561565
2,태화장,"대전광역시 동구 중앙로203번길 78, 1,2,3층 (정동)","대전광역시 동구 정동 36-34 ,36-32, 36-30번지 1,2,3층 ",19981021,,"짜장,짬뽕",042 256 2407
3,왕관식당,대전광역시 동구 선화로196번길 6 (중동),대전광역시 동구 중동 3-30 ,20061228,,"육회,콩나물밥", 042 2211663
4,경동오징어국수식당,대전광역시 동구 계족로 369 (성남동),대전광역시 동구 성남동 200-342 ,20120319,분식,칼국수, 042626 5707
5,중국성,대전광역시 동구 대전로815번길 66 (정동),대전광역시 동구 정동 8-5 ,20050930,,탕수육, 042254 3353
6,별천지,대전광역시 동구 산서로1659번길 29 (대별동),대전광역시 동구 대별동 198 ,20061228,,한방백숙,042 271 0207
7,평양숨두부식당,대전광역시 동구 대전로 381 (대성동),대전광역시 동구 대성동 163-2 ,19940516,,숨두부, 042284 4141
8,만인산식당,대전광역시 동구 산내로 111 (하소동),대전광역시 동구 하소동 460-1 ,19981021,,"갈비탕, 불고기", 042274 0700
9,옛촌,대전광역시 동구 장수1길 2 (신흥동),대전광역시 동구 신흥동 9-1 ,20090413,,생삼겹살, 042 2741678
10,락원간제미타운식당,"대전광역시 동구 우암로171번길 19 (성남동,,8)","대전광역시 동구 성남동 42-4 ,8 ",19970804,,간재미무침, 042 6361667
11,용운산성식당,대전광역시 동구 새울로 42-21 (용운동),대전광역시 동구 용운동 316-17 ,19970804,,누룽지백숙, 042 2856692
12,착한낙지홍도점,대전광역시 동구 동서대로 1609-2 (홍도동),대전광역시 동구 홍도동 13-11 ,20060929,,낙지볶음, 042 6255100
13,박가네 등갈비,"대전광역시 동구 동대전로 287, 1,2층 (가양동)","대전광역시 동구 가양동 419-3 1,2층 ",20141215,한식,매운등갈비, 042 6216219
14,풍전삼계탕식당,대전광역시 동구 계족로 414 (용전동),대전광역시 동구 용전동 145-9 ,20080331,,삼계탕, 042 6313838
15,진성아구찜용전점,대전광역시 동구 계족로392번길 2 (성남동),대전광역시 동구 성남동 504-51 ,20110929,한식,해물찜,042 634 1044
16,장원오리,대전광역시 동구 한밭대로 1299 (용전동),대전광역시 동구 용전동 24-3 ,20050630,한식,누룽지오리백숙,
17,소나무칼국수황제보쌈,대전광역시 동구 송촌남로11번길 209 (용전동),대전광역시 동구 용전동 10-1 ,20041130,,바지락칼국수, 042 6738333
18,천안원조닭똥집식당,대전광역시 동구 동서대로1692번길 27 (가양동),대전광역시 동구 가양동 450-25 ,20080331,,닭똥집볶음, 042 6339038
19,장가네대구왕뽈떼기,대전광역시 동구 계족로 309-1 (성남동),대전광역시 동구 성남동 73-3 ,20090413,,대구뽈찜, 042 6230750
