id,title,address,img_url
1,드르쿰다From제주,"대전광역시 서구 월평동 25-19",https://lh5.googleusercontent.com/p/AF1QipN4DJCSpU4h7NLB9rE9et48IhY5YolO3c7M0SFm=w408-h306-k-no
2,숍비피,"대전광역시 서구 둔산2동 1092 2층",https://lh5.googleusercontent.com/p/AF1QipNIWl0EPe1hR7Zt2sn-x8APvTLP5OE89JfsCoko=w408-h306-k-no
3,슬리피타운,"대전광역시 서구 둔산남로9번길 53 2층",https://lh5.googleusercontent.com/p/AF1QipMUjfmzSqyGJdDpZ130Fumf8FQ0a9vOq5KDMYyd=w408-h306-k-no
4,커피인터뷰,"대전광역시 유성구 온천2동 244-4",https://lh5.googleusercontent.com/p/AF1QipMzKK_AF20WE4Qzk2-nWYpsmMAU4bT-KvPfGnwn=w408-h544-k-no
5,코너스톤H,"대전광역시 유성구 도룡동 393-16",https://lh5.googleusercontent.com/p/AF1QipOqWalB5Gg34PUuvD2yoslwJCaPTM8ggeU3R-gK=w408-h272-k-no
6,샤를몽탁,"대전광역시 동구 대청동 회남로 172",https://lh5.googleusercontent.com/p/AF1QipMGLX6Wnnfcf_JwcRKzi1ifXMMS1t-1xgbLNl6l=w408-h306-k-no
7,"성심당 옛맛솜씨","대전광역시 중구 은행동 대종로480번길 16",https://lh5.googleusercontent.com/p/AF1QipMAOqDOsfCJ0t9FdYcsFkORumwshpdjzKZcREue=w408-h306-k-no
8,올던,"대전광역시 중구 선화동 348-3",https://lh5.googleusercontent.com/p/AF1QipOIknUznC5dct27iJ_mhs0rzTbEHer1mwbW3SJ6=w408-h408-k-no
9,리셉션,"대전광역시 서구 둔산2동 1281",https://lh5.googleusercontent.com/p/AF1QipOxae7W5J8cmd4YlGRruYkk_K5XrL4iFjargvGV=w408-h544-k-no
10,"스타벅스 대전정부청사역","대전광역시 서구 한밭대로 755",https://lh5.googleusercontent.com/p/AF1QipNTccXd3cbpeF2LWyWwQtpVSVrXvjGvuVP2LRCt=w408-h342-k-no
11,가치있는초콜릿,"대전광역시 중구 대흥동 489-3",https://lh5.googleusercontent.com/p/AF1QipNnnPxGjXtAZUktdBUGPvw2K_4IRBahmUmXy6DR=w425-h240-k-no
12,트리플디,"대전광역시 서구 둔산동 1155-1",https://lh5.googleusercontent.com/p/AF1QipML-6MFZcyjRli0XPzO_N7rETP3VQTH3caJyxkm=w408-h306-k-no
13,"청수당 신록","대전광역시 서구 계룡로 598 9층",https://lh5.googleusercontent.com/p/AF1QipMhY0nmQuab6WClIY-sfSU6FRxyy5_pahBTUX-z=w408-h306-k-no
14,소신,"대전광역시 유성구 농대로15번길 7",https://lh5.googleusercontent.com/p/AF1QipNWtolDwZciIBzsV9G3CCaWEERDBILBoFGrvY3F=w426-h240-k-no
