id,title,new_add,소재지주소,지정일자,음식의유형,주된음식종류,call,img_url,Latitude,Longitude
1,한밭식당,대전광역시 동구 태전로 3 (중동),대전광역시 동구 중동 60-1 ,19920728,한식,설렁탕, 042 2561565,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_189%2F1441056957947unu9v_JPEG%2F156155408648072_0.jpg,36.3309363,127.4309338
2,태화장,"대전광역시 동구 중앙로203번길 78, 1,2,3층 (정동)","대전광역시 동구 정동 36-34 ,36-32, 36-30번지 1,2,3층 ",19981021,,"짜장,짬뽕",042 256 2407,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150825_105%2F14404798210880OSn2_JPEG%2F166775544677912_3.jpg,36.3339091,127.429521
3,왕관식당,대전광역시 동구 선화로196번길 6 (중동),대전광역시 동구 중동 3-30 ,20061228,,"육회,콩나물밥", 042 2211663,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200110_58%2F1578592970835s4Rr2_JPEG%2F33C5YUEIqusr6tweN_sJhr-L.JPG.jpg,36.3335752,127.4275463
4,경동오징어국수식당,대전광역시 동구 계족로 369 (성남동),대전광역시 동구 성남동 200-342 ,20120319,분식,칼국수, 042626 5707,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190729_242%2F1564382315438N1cYw_JPEG%2FpzPiMP9Uix-I_16hlnPXuSng.jpeg.jpg,36.3447577,127.433185
5,중국성,대전광역시 동구 대전로815번길 66 (정동),대전광역시 동구 정동 8-5 ,20050930,,탕수육, 042254 3353,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180423_47%2F15244863915007c12O_PNG%2Fqfj9fCELMfj6zzZxN3Od1tdg.png,36.3346417,127.4302653
6,별천지,대전광역시 동구 산서로1659번길 29 (대별동),대전광역시 동구 대별동 198 ,20061228,,한방백숙,042 271 0207,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171019_249%2F1508382125149Xqkdi_JPEG%2FQktCum3hnZh-O4241SqjOyPA.jpg,36.2909711,127.4610745
7,평양숨두부식당,대전광역시 동구 대전로 381 (대성동),대전광역시 동구 대성동 163-2 ,19940516,,숨두부, 042284 4141,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_278%2F1441054664327QjhF7_JPEG%2F11848724_0.jpg,36.3012402,127.4567428
8,만인산식당,대전광역시 동구 산내로 111 (하소동),대전광역시 동구 하소동 460-1 ,19981021,,"갈비탕, 불고기", 042274 0700,NULL,36.2001311,127.4490255
9,옛촌,대전광역시 동구 장수1길 2 (신흥동),대전광역시 동구 신흥동 9-1 ,20090413,,생삼겹살, 042 2741678,NULL,36.3236278,127.4462319
10,락원간제미타운식당,"대전광역시 동구 우암로171번길 19 (성남동,,8)","대전광역시 동구 성남동 42-4 ,8 ",19970804,,간재미무침, 042 6361667,NULL,36.3425101,127.435504
11,용운산성식당,대전광역시 동구 새울로 42-21 (용운동),대전광역시 동구 용운동 316-17 ,19970804,,누룽지백숙, 042 2856692,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2F20131029_164%2Fgudco9806_1383023028302Vryz0_JPEG%2FCAM03828.jpg,36.3220685,127.4635991
12,착한낙지홍도점,대전광역시 동구 동서대로 1609-2 (홍도동),대전광역시 동구 홍도동 13-11 ,20060929,,낙지볶음, 042 6255100,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171123_43%2F1511429828002F2gTT_JPEG%2FpqdwdLHVWIztaWJkOV554M5u.jpg,36.3463649,127.4296407
13,박가네 등갈비,"대전광역시 동구 동대전로 287, 1,2층 (가양동)","대전광역시 동구 가양동 419-3 1,2층 ",20141215,한식,매운등갈비, 042 6216219,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150825_278%2F1440479662286JtSaL_JPEG%2F166775544440402_0.jpg,36.3463007,127.4447111
14,풍전삼계탕식당,대전광역시 동구 계족로 414 (용전동),대전광역시 동구 용전동 145-9 ,20080331,,삼계탕, 042 6313838,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200110_145%2F1578584349659Hrr6y_JPEG%2FiL53CvKSer-Rb1F-WDmqPfEV.JPG.jpg,36.3486727,127.4324214
15,진성아구찜용전점,대전광역시 동구 계족로392번길 2 (성남동),대전광역시 동구 성남동 504-51 ,20110929,한식,해물찜,042 634 1044,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA3MjRfMiAg%2FMDAxNjU4NjYzOTEwNTYz.fkEujvv6w3iIj8DIgAwpDEsJtKG0Ja3SuDwmi-Ycx2kg.27VTQ_wXDBzk7jwHGk0ZvxP-Y_1QzSGJdf491Uq1VFMg.JPEG.ziizz77%2FIMG_9390.jpg,36.3466546,127.4327635
16,장원오리,대전광역시 동구 한밭대로 1299 (용전동),대전광역시 동구 용전동 24-3 ,20050630,한식,누룽지오리백숙,,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211101_286%2F1635761200167LguWI_JPEG%2FA_LbcswbsZ6CA4XKh5Dz4Fzz.jpeg.jpg,36.3533082,127.4403462
